OUR16280,Alpha Electric,2339.85,10-16-23,10% cancellation fee paid by HO and 50% of it goes to the dealer per Management,0,2339.85,Alpha Electric Group
OUR16817,Alpha Electric,1300.69,10-17-23,10% cancellation fee paid by HO and 50% of it goes to the dealer per Management,0,1300.69,Alpha Electric Group
OUR12986,Light Energy,1166.50,10-17-23,10% cancellation fee paid by HO and 50% of it goes to the dealer per Management,0,1166.50,Schaper Cluff Solar LLC dba Light Energy 
OUR10872,Alpha Electric,100.00,10-17-23,10% cancellation fee paid by HO and 50% of it goes to the dealer per Management,0,100.00,Alpha Electric Group
OUR12033,UNTD,1443.98,10-17-23,10% cancellation fee paid by HO and 50% of it goes to the dealer per Management,0,1443.98,Elevate LLC 
OUR12261,Alpha Electric,1357.20,10-17-23,10% cancellation fee paid by HO and 50% of it goes to the dealer per Management,0,1357.20,Alpha Electric Group
OUR12952,Clean Earth,388.25,10-17-23,10% cancellation fee paid by HO and 50% of it goes to the dealer per Management,0,388.25,Clean Earth Consultants
OUR12637,Sun Source,1097.58,10-17-23,10% cancellation fee paid by HO and 50% of it goes to the dealer per Management,0,1097.58,Sun Source Energy
OUR12902,WhyGen,825.00,10-17-23,10% cancellation fee paid by HO and 50% of it goes to the dealer per Management,0,825.00,WhyGen LLC
OUR14344,Genesis Power,757.50,10-17-23,10% cancellation fee paid by HO and 50% of it goes to the dealer per Management,0,757.50,Genesis Power Solutions 
OUR12094,ExoSolar,1092.91,10-17-23,10% cancellation fee paid by HO and 50% of it goes to the dealer per Management,1092.91,0.0,ExoSolar Solutions LLC
OUR14071,Light Energy,964.10,10-17-23,10% cancellation fee paid by HO and 50% of it goes to the dealer per Management,0,964.10,Schaper Cluff Solar LLC dba Light Energy 
OUR15438,Light Energy,686.50,10-17-23,10% cancellation fee paid by HO and 50% of it goes to the dealer per Management,0,686.50,Schaper Cluff Solar LLC dba Light Energy 
OUR13435,WhyGen,2297.40,10-17-23,10% cancellation fee paid by HO and 50% of it goes to the dealer per Management,0,2297.40,WhyGen LLC
OUR13797,Energy Bros USA,1568.98,10-17-23,10% cancellation fee paid by HO and 50% of it goes to the dealer per Management,0,1568.98,Energy Bros USA Inc
OUR11319,WhyGen,1850.00,10-17-23,10% cancellation fee paid by HO and 50% of it goes to the dealer per Management,0,1850.00,WhyGen LLC
OUR16105,EZ,250.00,10-17-23,10% cancellation fee paid by HO and 50% of it goes to the dealer per Management,0,250.00,EZ Energy
OUR16427,Solfiniity Power,2470.90,10-17-23,10% cancellation fee paid by HO and 50% of it goes to the dealer per Management,0,2470.90,Solfinity Power
OUR16980,Alpha Electric,922.50,10-17-23,10% cancellation fee paid by HO and 50% of it goes to the dealer per Management,0,922.50,Alpha Electric Group
OUR16725,ADVO,3025.23,10-17-23,10% cancellation fee paid by HO and 50% of it goes to the dealer per Management,0,3025.23,Advosy
OUR14954,Brite Marketing,2611.75,10-17-23,10% cancellation fee paid by HO and 50% of it goes to the dealer per Management,0,2611.75,Brite Marketing LLC 
OUR14404,Switch Solar,1392.50,10-17-23,10% cancellation fee paid by HO and 50% of it goes to the dealer per Management,-50.00,1342.50,Switch Solar
OUR10029,Switch Solar,5516.00,10-18-23,The account was refinanced because the credit expired; Post install and should not be clawback to sales rep per Natalie,0,5516.00,Switch Solar
DLR-00452,Alpha Electric,20890.93,10-20-23,This is for 10-20-23 commission statement; To be paid back .10c per watt at install,0,20890.93,Alpha Electric Group
DLR-00453,Alpha Electric,-20890.93,10-20-23,This is for 10-20-23 commission statement; To be paid back .10c per watt at install,0,-20890.93,Alpha Electric Group
OUR10490,Switch Solar,-110000.00,10-20-23,Pricing costs of the Peter Thompson project,-65727.56,-44272.44,Switch Solar
DLR-00489,Switch Solar,0.0,10-20-23,"Pay Off Pearl Funding. Per Caleb: Pearl Funding is paid off, changed to $0",0,0.0,Switch Solar
DLR-00508,OS Recruiting Partners,160000.00,10-24-23,Erroneous payment that will be paid back per Caleb Antonucci,0,160000.00,Solar Recruiting Partners
DLR-00490,Private. Grid,5000.00,10-26-23,Advance approved by Caleb Antonucci,0,5000.00,Eli Hardin dba Private Grid LLC
DLR-00491,Private. Grid,-5000.00,10-26-23,Advance approved by Caleb Antonucci; To be paid back 50% of their commission for the week,-1977.75,-3022.25,Eli Hardin dba Private Grid LLC
DLR-00492,Alpha Electric,5000.00,10-27-23,Payment made on OWE's behalf for an Andy Elliott event (this will not be repaid),0,5000.00,Alpha Electric Group
DLR-00493,OWE-DD,22846.00,10-27-23,Transferring Scott Clyman's advances from OWE-DD to WED,0,22846.00,Dealer Direct 
DLR-00494,World Energy Direct,-22846.00,10-27-23,Transferring Scott Clyman's advances from OWE-DD to WED; to be paid back 0.15 per watt on Scott's personal deals only,-8466.00,-14380.00,World Energy Direct LLC
DLR-00596,Light Energy,25000.00,10-27-23,Advance; Payment sent to Trent Kohler,0,25000.00,Schaper Cluff Solar LLC dba Light Energy 
DLR-00495,Kingdom Power,2000.00,10-29-23,Advance approved by Josh Morton,0,2000.00,Kingdom Power LLC 
DLR-00496,Kingdom Power,-2000.00,10-29-23,Payback as soon as funds is available,0,-2000.00,Kingdom Power LLC 
DLR-00500,Impact Your Energy,-2608.87,11-01-23,Closing Impact Your Energy Pipeline and transferring it to Luxor Energy per Josh Morton's request,0,-2608.87,Impact Your Energy LLC 
OUR15821,Luxor Energy,2608.87,11-01-23,Forwarded Pipeline balance to Luxor from Impact Your Energy account,2608.87,0.0,Luxor Energy 
DLR-00503,OWE-JG,-10617.75,11-01-23,OWE - JG setter budget that should not be paid out to the dealer.,0,-10617.75,Jeruash Gallifant Team (Eagles)
OUR18252,Solar Movement,1023.50,11-02-23,Light City Dealer Override approved by Josh Morton,0,1023.50,Solar Movement LLC 
DLR-00506,Aerodish Communications,2000.00,11-02-23,Advance approved by Josh Morton,0,2000.00,Aerodish Communications LLC
DLR-00507,Aerodish Communications,-2000.00,11-02-23,Advance payback at install approved by Josh Morton,-2000.00,0.0,Aerodish Communications LLC
DLR-00509,OS Recruiting Partners,-160000.00,11-03-23,Erroneous payment that will be paid back per Caleb Antonucci,0,-160000.00,Solar Recruiting Partners
DLR-00510,Peak Power,4000.00,11-03-23,"Erroneous Dealer, should be Peak Solar Energy",0,4000.00,Peak Power
DLR-00511,Peak Power,-4000.00,11-03-23,"Erroneous Dealer, should be Peak Solar Energy",0,-4000.00,Peak Power
DLR-00505,World Energy Direct,-4350.00,11-05-23,WED Setter sit and set payments for the month of November 2023,-4350.00,0.0,World Energy Direct LLC
DLR-00512,Clean Skies,2419.66,11-05-23,Clean Skies Air BnB Advance,0,2419.66,Clean Skies Technologies
DLR-00513,Clean Skies,-2419.66,11-05-23,Clean Skies Air BnB Advance; To be paid back .10c per watt at install,0,-2419.66,Clean Skies Technologies
DLR-00514,Premier Solar,0.0,11-06-23,"Erroneous payment, should be paid to Brite Solar",0,0.0,Premier Solar Pros LLC
OUR16743,Sun Source,1275.41,11-07-23,10% cancellation fee paid by HO and 50% of it goes to the dealer per Management,0,1275.41,Sun Source Energy
DLR-00498,Revolve Solutions,50000.00,11-07-23,Advances approved by Josh Morton,0,50000.00,Revolve Solutions LLC
DLR-00516,Revolve Solutions,-50000.00,11-07-23,Advances payback approved; To be paid back .10c per watt at install,-20602.00,-29398.00,Revolve Solutions LLC
OUR18520,Solar Movement,712.00,11-07-23,Light City Dealer Override approved by Josh Morton,0,712.00,Solar Movement LLC 
DLR-00518,Tycho Energy,0.0,11-08-23,Account transferred to Spartan Solar; M1 payment chargeback,0,0.0,Tycho Energy
DLR-00519,MARS,12507.00,11-08-23,OR for October,6000.00,6507.00,Mark Anthony Ramirez Solar
DLR-00520,Switch Solar,15000.00,11-10-23,Advance approved by Josh Morton,0,15000.00,Switch Solar
DLR-00521,Switch Solar,-15000.00,11-10-23,Advance Payback approved by Josh Morton,0,-15000.00,Switch Solar
OUR18211,Light Energy,2916.00,11-15-23,Original Dealer payout at $300/KW | Saved deal by Private Grid LLC,0,2916.00,Schaper Cluff Solar LLC dba Light Energy 
OUR18917,PHX Solar Power,-2000.00,11-15-23,Sales rep is going to pay the customer's down payment.,0,-2000.00,Phoenix Solar Power
DLR-00522,OWE-JG,-5900.63,11-17-23,Setter Budget Allocation for November 2023,0,-5900.63,Jeruash Gallifant Team (Eagles)
OUR17440,WhyGen,-600.00,11-20-23,HO didn't like the repair job we did for the access holes during the SS that he fixed it himself and wants a refund requested by Natalie C.,0,-600.00,WhyGen LLC
OUR17893,Energy Bros USA,1221.25,11-21-23,Remaing M2 payout of the project that was paid to Cody Outland but should be paid to Energy Bros approved by Natalie.,0,1221.25,Energy Bros USA Inc
OUR13992,Sun Source,-2632.50,11-21-23,Erroneous payment of Marketing Fee,0,-2632.50,Sun Source Energy
OUR13852,Clean Skies,3469.13,11-21-23,Marketing Fee will be split between Sunsource and Clean Skies per agreement stated by the sales rep,0,3469.13,Clean Skies Technologies
OUR13852,Sun Source,-3469.13,11-21-23,Marketing Fee will be split between Sunsource and Clean Skies per agreement stated by the sales rep,0,-3469.13,Sun Source Energy
DLR-00528,MARS,13413.00,11-21-23,5k of November advance - No chargeback per Caleb,0,13413.00,Mark Anthony Ramirez Solar
OUR17247,Solar Movement,2295.00,11-22-23,Light City Dealer Override approved by Josh Morton,0,2295.00,Solar Movement LLC 
OUR17251,Solar Movement,922.50,11-22-23,Light City Dealer Override approved by Josh Morton,0,922.50,Solar Movement LLC 
DLR-00729,OS Recruiting Partners,25000.00,11-22-23,Missed payment,0,25000.00,Solar Recruiting Partners
DLR-00730,OS Recruiting Partners,-25000.00,11-22-23,payback of DLR-00729,0,-25000.00,Solar Recruiting Partners
OUR18498,Valley Energy,425.25,11-25-23,Rivera Vega Enterprises Dealer Override approved by Josh Morton,0,425.25,Valley Energy Consoltants LLC 
OUR17331,Sun Source,-7800.00,11-26-23,Erroneous payment of Marketing Fee,0,-7800.00,Sun Source Energy
DLR-00533,Light Energy,5791.00,11-27-23,"OWE Setter Pay, Carley Ekpo; this was paid by customer to OWE to be reimbursed to Light Energy",0,5791.00,Schaper Cluff Solar LLC dba Light Energy 
DLR-00534,Alpha Electric,19000.00,11-27-23,Advance payment made to Alpha Electric Group to cover blitz housing expenses; To be paid back .10c per watt at install,0,19000.00,Alpha Electric Group
DLR-00535,Alpha Electric,-19000.00,11-27-23,Advance payment payback made to Alpha Electric Group to cover blitz housing expenses; To be paid back .10c per watt at install,0,-19000.00,Alpha Electric Group
OUR14460,Sun Source,-4387.50,11-27-23,Erroneous payment of Marketing Fee,0,-4387.50,Sun Source Energy
OUR16711,Solar Movement,225.00,11-28-23,Light City Dealer Override approved by Josh Morton,0,225.00,Solar Movement LLC 
DLR-00538,Kingdom Power,1500.00,11-29-23,Advances approved by Josh Morton,0,1500.00,Kingdom Power LLC 
DLR-00539,Kingdom Power,-1500.00,11-29-23,Advances payback; To be paid back as soon as fund is available,0,-1500.00,Kingdom Power LLC 
DLR-00540,Switch up Solar,20000.00,11-29-23,Advances approved by Josh Morton,0,20000.00,Switch up Solar LLC
DLR-00541,Switch up Solar,-20000.00,11-29-23,Advance approved by Josh Morton; To be paid back .10c per watt at install,-18300.00,-1700.00,Switch up Solar LLC
DLR-00542,OWE-JG,-1657.50,11-30-23,Leadership Budget Allocation for November 2023,0,-1657.50,Jeruash Gallifant Team (Eagles)
DLR-00497,Light Energy,25000.00,11-30-23,Advance; Erroneous payment sent to Light Energy for SR Trent Kohler,0,25000.00,Schaper Cluff Solar LLC dba Light Energy 
OUR18512,Valley Energy,850.50,12-04-23,Rivera Vega Enterprises Dealer Override approved by Josh Morton,0,850.50,Valley Energy Consoltants LLC 
OUR18772,Valley Energy,567.00,12-04-23,Rivera Vega Enterprises Dealer Override approved by Josh Morton,0,567.00,Valley Energy Consoltants LLC 
DLR-00546,PowerConnect,20000.00,12-04-23,Advance approved by Josh Morton; To be paid back .10c per watt at install,0,20000.00,Power Connections LLC
DLR-00547,PowerConnect,-20000.00,12-06-23,Advance approved by Josh Morton; To be paid back .10c per watt at install,0,-20000.00,Power Connections LLC
OUR16835,Switch Solar,1317.50,12-06-23,10% cancellation fee paid by HO and 50% of it goes to the dealer per Management,0,1317.50,Switch Solar
DLR-00549,OWE-JG,4200.00,12-06-23,Requested amount by Jeraush to be deducted from Setter Budget,0,4200.00,Jeruash Gallifant Team (Eagles)
DLR-00550,OWE-JG,-3689.25,12-07-23,Leadership Budget Allocation for December 2023,0,-3689.25,Jeruash Gallifant Team (Eagles)
OUR19570,WhyGen,3000.00,12-08-23,"OWE will cover the chargeback for this account, approved by Natalie C.",0,3000.00,WhyGen LLC
DLR-00342,World Energy Direct,-1650.00,12-11-23,WED Setter sit and set payments for the month of December 2023,-1650.00,0.0,World Energy Direct LLC
DLR-00552,Ethical Entrepreneur,3500.00,12-12-23,Advances approved by Josh Morton; To be clawback as soon as fund is available,0,3500.00,Ethical Entrepreneur LLC
DLR-00553,Ethical Entrepreneur,-3500.00,12-12-23,Advances approved by Josh Morton; To be clawback as soon as fund is available,0,-3500.00,Ethical Entrepreneur LLC
OUR18537,PowerConnect,5224.50,12-13-23,Original Dealer payout at $300/KW | Saved deal by Private Grid LLC,0,5224.50,Power Connections LLC
DLR-00555,MARS,10000.00,12-16-23,MARS Dec 1or2 - Override per Caleb,0,10000.00,Mark Anthony Ramirez Solar
OUR20005,WhyGen,-2000.00,12-17-23,To charge sales partner the M1 payment sent by the customer to WhyGen Solar,0,-2000.00,WhyGen LLC
DLR-00558,Light Energy,-25000.00,12-28-23,Advance; Erroneous payment sent to Light Energy payback | SR Trent Kohler | Please deduct 50% from his commission per project,-13248.13,-11751.87,Schaper Cluff Solar LLC dba Light Energy 
DLR-00559,Light Energy,2600.00,01-01-24,Monthly bonus for November 2023 | Office space approved by Josh Morton,0,2600.00,Schaper Cluff Solar LLC dba Light Energy 
DLR-00560,Light Energy,2600.00,01-01-24,Monthly bonus for December 2023 | Office space approved by Josh Morton,0,2600.00,Schaper Cluff Solar LLC dba Light Energy 
DLR-00561,Light Energy,2600.00,01-01-24,Monthly bonus for January 2024 | Office space approved by Josh Morton,0,2600.00,Schaper Cluff Solar LLC dba Light Energy 
OUR16806,EZ,0.0,01-02-24,10% cancellation fee paid by HO and 50% of it goes to the dealer per Management | We have refunded the cancellation fee to the customer per Josh Morton via email,0,0.0,EZ Energy
OUR19444,Ignite Solutions,1973.00,01-02-24,"Split deal between Revolve Solutions and Ignite Solutions per agreement via email with a subject line ""Dustin Lane - Commission Structure ""from Josh Morton",0,1973.00,Ignite Solutions LLC
DLR-00564,Energy Bros USA,15000.00,01-02-24,"Dealer owner have come to an agreement to the HO that half of the $30,000 DP on Isaac's Sandoval projects will be forfeited, confirmed by Natalie C. via email with subject line ""Commissions Concerns: 2023 Closeout""",0,15000.00,Energy Bros USA Inc
DLR-00566,Alpha Electric,-26065.05,01-03-24,Advances Payback | January - February Blitz Housing to be paid back at $0.10c per Watt at installed projects,0,-26065.05,Alpha Electric Group
OUR19652,Valley Energy,361.25,01-03-24,Rivera Vega Enterprises Dealer Override approved by Josh Morton,0,361.25,Valley Energy Consoltants LLC 
OUR18932,Valley Energy,510.00,01-03-24,Rivera Vega Enterprises Dealer Override approved by Josh Morton,0,510.00,Valley Energy Consoltants LLC 
OUR18903,Valley Energy,525.00,01-03-24,Rivera Vega Enterprises Dealer Override approved by Josh Morton,0,525.00,Valley Energy Consoltants LLC 
DLR-00565,Alpha Electric,26065.05,01-03-24,Advances | January - February Blitz Housing to be paid back at $0.10c per Watt at installed projects,0,26065.05,Alpha Electric Group
DLR-00573,Peak Solar Energy,-20000.00,01-05-24,Advance approved by Josh Morton; To be paid back .10c per watt at install,0,-20000.00,Peak Solar Energy
DLR-00572,Peak Solar Energy,20000.00,01-05-24,Advances approved by Josh Morton,0,20000.00,Peak Solar Energy
DLR-00604,PowerConnect,-20000.00,01-09-24,Advance approved by Josh Morton; To be paid back .10c per watt at install,0,-20000.00,Power Connections LLC
DLR-00603,PowerConnect,20000.00,01-09-24,Advance approved by Josh Morton; To be paid back .10c per watt at install,0,20000.00,Power Connections LLC
DLR-00575,Solterian,-5000.00,01-10-24,Advance Payback at .10c per watt installed,0,-5000.00,DBA True Energy Plus LLC 
OUR19743,Valley Energy,297.50,01-10-24,Rivera Vega Enterprises Dealer Override approved by Josh Morton,0,297.50,Valley Energy Consoltants LLC 
OUR19870,Valley Energy,446.25,01-10-24,Rivera Vega Enterprises Dealer Override approved by Josh Morton,0,446.25,Valley Energy Consoltants LLC 
OUR18818,Solar Movement,769.50,01-10-24,Light City Dealer Override approved by Josh Morton,0,769.50,Solar Movement LLC 
DLR-00574,Solterian,5000.00,01-10-24,Advance approved by Josh,0,5000.00,DBA True Energy Plus LLC 
OUR19212,ASAP Solar Pros,-2000.00,01-11-24,M1 payment that was sent to I Am Solar SR Edmundo Hierro that we will not be charged back from prevous dealer and SR,0,-2000.00,"ASAP Solar Pros Inc, DBA Systematic Solar"
DLR-00581,JM Solar,-1000.00,01-11-24,Advance Payback at .10c per watt installed,0,-1000.00,JM Solar LLC 
DLR-00580,JM Solar,1000.00,01-11-24,Advances approved by Josh Morton,0,1000.00,JM Solar LLC 
DLR-00587,OWE-JG,-8393.75,01-12-24,Leadership Budget Allocation for January 2024,0,-8393.75,Jeruash Gallifant Team (Eagles)
OUR18529,Energy Bros USA,570.30,01-12-24,"Energy Bros Q4 Bonus, 2023",0,570.30,Energy Bros USA Inc
OUR18966,Energy Bros USA,637.18,01-12-24,"Energy Bros Q4 Bonus, 2023",0,637.18,Energy Bros USA Inc
OUR19099,Energy Bros USA,638.44,01-12-24,"Energy Bros Q4 Bonus, 2023",0,638.44,Energy Bros USA Inc
OUR18946,Energy Bros USA,975.00,01-12-24,"Energy Bros Q4 Bonus, 2023",0,975.00,Energy Bros USA Inc
OUR18657,WhyGen,1207.61,01-12-24,10% cancellation fee paid by HO and 50% of it goes to the dealer per Management,0,1207.61,WhyGen LLC
DLR-00588,MARS,14211.00,01-16-24,January OR,0,14211.00,Mark Anthony Ramirez Solar
OUR20045,Brite Marketing,2200.00,01-17-24,Customer canceled due to OWE missing multiple site surveys,0,2200.00,Brite Marketing LLC 
OUR18471,STIA,2052.60,01-18-24,10% cancellation fee paid by HO and 50% of it goes to the dealer per Management,0,2052.60,STIA
OUR19053,Alpha Electric,2295.00,01-22-24,Original Dealer payout at $300/KW | Saved deal by Private Grid LLC,0,2295.00,Alpha Electric Group
OUR14845,Sun Source,-4018.10,01-25-24,Marketing Fee will be split between Sunsource and Clean Skies per agreement stated by the sales rep,0,-4018.10,Sun Source Energy
OUR14845,Clean Skies,4018.10,01-25-24,Marketing Fee will be split between Sunsource and Clean Skies per agreement stated by the sales rep,0,4018.10,Clean Skies Technologies
DLR-00595,World Energy Direct,-250.00,01-29-24,WED Setter sit and set payments for the month of January 2024,-250.00,0.0,World Energy Direct LLC
OUR18919,PowerConnect,1247.50,01-29-24,10% cancellation fee paid by HO and 50% of it goes to the dealer per Management,0,1247.50,Power Connections LLC
DLR-00597,Energy Bros USA,-4542.00,01-31-24,Outstanding Balance of terminated sales rep Ramon Roybal; Advances were approved by Matthew Sessa,0,-4542.00,Energy Bros USA Inc
DLR-00599,OWE-JG,-13940.00,02-05-24,Leadership Budget Allocation for February 2024,0,-13940.00,Jeruash Gallifant Team (Eagles)
DLR-00601,Light Energy,2600.00,02-08-24,Monthly bonus for February 2024 | Office space approved by Josh Morton,0,2600.00,Schaper Cluff Solar LLC dba Light Energy 
DLR-00602,World Energy Direct,-1075.00,02-12-24,WED Setter sit and set payments for the month of February 2024,-1075.00,0.0,World Energy Direct LLC
DLR-00605,Energy Bros USA,0.0,02-19-24,"To remit all account receivables and payment intangibles up to $136,035.00 payable to Flex under 9-406 UCC Lien to Revenued LLC. ",0,0.0,Energy Bros USA Inc
OUR21149,OWE-JG,0.0,02-19-24,Reimbursement - Welcome baskets additional to the fairytale brownies for the eagles,0,0.0,Jeruash Gallifant Team (Eagles)
OUR20167,OWE-JG,0.0,02-19-24,Reimbursement - Welcome baskets additional to the fairytale brownies for the eagles,0,0.0,Jeruash Gallifant Team (Eagles)
OUR17891,OWE-JG,0.0,02-19-24,Reimbursement - Welcome baskets additional to the fairytale brownies for the eagles,0,0.0,Jeruash Gallifant Team (Eagles)
OUR20041,Valley Energy,488.75,02-19-24,Rivera Vega Enterprises Dealer Override approved by Josh Morton,0,488.75,Valley Energy Consoltants LLC 
OUR20899,Valley Energy,595.00,02-19-24,Rivera Vega Enterprises Dealer Override approved by Josh Morton,0,595.00,Valley Energy Consoltants LLC 
OUR18063,Alpha Electric,2805.00,02-19-24,Original Dealer payout at $300/KW | Saved deal by Private Grid LLC,0,2805.00,Alpha Electric Group
DLR-00614,Pueblo Home Solutions,-15000.00,02-20-24,Advance Paybackb at 0.25c per watt at install,-15000.00,0.0,Pueblo Home Solutions LLC
OUR18950,Solar Movement,510.00,02-20-24,Light City Dealer Override approved by Josh Morton,0,510.00,Solar Movement LLC 
DLR-00613,Pueblo Home Solutions,15000.00,02-20-24,Advance payment requested by Jeraush G. and cofirmed by Mark R. that we are good to process the payment.,0,15000.00,Pueblo Home Solutions LLC
DLR-00622,Solfiniity Power,-13000.00,02-22-24,Advance Payback approved by Josh Morton,-13000.00,0.0,Solfinity Power
DLR-00615,Solfiniity Power,13000.00,02-22-24,Advance approved by Josh Morton,0,13000.00,Solfinity Power
DLR-00617,Energy Bros USA,-8700.00,02-23-24,"To collect 0.10 per watt on installed projects | Isaac Sandoval only agreed to let Matt keep the $6,300 DP",-4957.50,-3742.50,Energy Bros USA Inc
OUR20417,OWE-JG,0.0,02-23-24,Reimbursement - Welcome baskets additional to the fairytale brownies for the eagles,0,0.0,Jeruash Gallifant Team (Eagles)
DLR-00618,MARS,11147.55,02-24-24,FEB OR,0,11147.55,Mark Anthony Ramirez Solar
DLR-00620,Switch up Solar,-7500.00,02-27-24,Advance payback on OUR20172 Martha Downing project,-6480.00,-1020.00,Switch up Solar LLC
DLR-00619,Switch up Solar,7500.00,02-27-24,Advance payment on OUR20172 Martha Downing project,0,7500.00,Switch up Solar LLC
DLR-00621,PowerConnect,-258681.94,02-28-24,Payoff amount requested by various escalated customers; to be paid by .05/watt on installed projects,-224670.69,-34011.25,Power Connections LLC
DLR-00624,Peak Power,-6000.00,03-04-24,Advance Payback as soons as fund is available approved by Josh Morton,0,-6000.00,Peak Power
DLR-00625,World Energy Direct,-5775.00,03-04-24,WED Setter sit and set payments for the month of March 2024,-5775.00,0.0,World Energy Direct LLC
DLR-00623,Peak Power,6000.00,03-04-24,Advance approved by Josh Morton,0,6000.00,Peak Power
DLR-00633,Brite Marketing,-50000.00,03-06-24,"Advance Payback approved by Josh Morton to be paid back at 0.10c/watt on installed projects (starting on May 6, 2024)",-21873.00,-28127.00,Brite Marketing LLC 
OUR18240,WhyGen,-12000.00,03-06-24,Rebate payback that was sent to the HO which was approved by Josh Morton | This will be paid back .10c/watt on installed projects of Tommy Nguyen,-11160.00,-840.00,WhyGen LLC
OUR17051,Sun Source,-1595.00,03-06-24,Marketing Fee will be split between Sunsource and Clean Skies per agreement stated by the sales rep,0,-1595.00,Sun Source Energy
DLR-00637,ROMAN,600.00,03-06-24,For golf event that was set up by their AE - Josh Morton,0,600.00,Roman Family Enterprises LLC
OUR17051,Clean Skies,1595.00,03-06-24,Marketing Fee will be split between Sunsource and Clean Skies per agreement stated by the sales rep,0,1595.00,Clean Skies Technologies
OUR19359,STIA,1785.00,03-06-24,Original Dealer payout at $300/KW | Saved deal by Private Grid LLC,0,1785.00,STIA
OUR20873,PowerConnect,2520.00,03-06-24,Original Dealer payout at $300/KW | Saved deal by Private Grid LLC,0,2520.00,Power Connections LLC
OUR17124,ROMAN,3825.00,03-06-24,Original Dealer payout at $300/KW | Saved deal by Private Grid LLC,0,3825.00,Roman Family Enterprises LLC
OUR18240,Energy Bros USA,12000.00,03-06-24,"Rebate sent to the HO approved by Josh Morton | The primary sales rep, Tom Nguyen is now working at WhyGen | Adjustment - to transfer the chargeback to WhyGen Solar.",0,12000.00,Energy Bros USA Inc
DLR-00632,Brite Marketing,50000.00,03-06-24,Advance approved by Josh Morton to be paid back at 0.10c/watt,0,50000.00,Brite Marketing LLC 
DLR-00640,OWE-JG,-10236.25,03-07-24,Leadership Budget Allocation for March 2024,0,-10236.25,Jeruash Gallifant Team (Eagles)
DLR-00639,Sunder Energy,-3243.35,03-07-24,Advance Payback approved by Josh Morton to be paid back at 0.10c/watt (the claw back will only apply to the projects sold during the blitz),0,-3243.35,Sunder Energy LLC
OUR20193,Extensive Solar,2000.00,03-07-24,"OWE will cover the chargeback for this account, approved by Natalie C. | Due to mix up on roof quotes and the late catch on install day for roof work",0,2000.00,Extensive Solar Solutions LLC
DLR-00638,Sunder Energy,3243.35,03-07-24,For Blitz House - Advance Payback approved by Josh Morton to be paid back at 0.10c/watt,0,3243.35,Sunder Energy LLC
DLR-00641,MARS,12223.15,03-08-24,MAR OR,0,12223.15,Mark Anthony Ramirez Solar
DLR-00672,Solfiniity Power,-8957.33,03-11-24,Advance approved by Josh Morton; To be paid back .10c per watt at install,-8957.33,0.0,Solfinity Power
DLR-00671,Solfiniity Power,8957.33,03-11-24,Advance approved by Josh Morton; To be paid back .10c per watt at install,0,8957.33,Solfinity Power
DLR-00644,New Era Roofs & Solar,-5193.58,03-12-24,Advance payback for the Air BnB Reimbursement at .10c per watt on installed projects approved by Josh Morton,0,-5193.58,New Era Roofs and Solar
DLR-00643,New Era Roofs & Solar,5193.58,03-12-24,Advance - Air BnB Reimbursement approved by Josh Morton,0,5193.58,New Era Roofs and Solar
OUR20293,Alpha Electric,2422.50,03-18-24,Original Dealer payout at $300/KW | Saved deal by Private Grid LLC,0,2422.50,Alpha Electric Group
OUR22084,Sunder Energy,-2000.00,03-19-24,The project was reassigned to Roman Family Enterprises per Josh Morton instruction via email.,0,-2000.00,Sunder Energy LLC
OUR15682,Solar Movement,787.50,03-19-24,Light City Dealer Override approved by Josh Morton,0,787.50,Solar Movement LLC 
DLR-00631,Alpha Electric,-160000.00,03-22-24,Advance Payback approved by Josh Morton to be paid back at 0.10c/watt on installed projects,-64277.62,-95722.38,Alpha Electric Group
DLR-00630,Alpha Electric,160000.00,03-22-24,Advance approved by Josh Morton to be paid back at 0.10c/watt on installed projects,0,160000.00,Alpha Electric Group
OUR18981,Alpha Electric,1657.50,03-25-24,Original Dealer payout at $300/KW | Saved deal by Private Grid LLC,0,1657.50,Alpha Electric Group
OUR22302,EZ,1785.00,03-25-24,Original Dealer payout at $300/KW | Saved deal by Private Grid LLC,0,1785.00,EZ Energy
OUR22856,Erik Lively,500.00,03-26-24,"Per Natalie, miscommunication on a competing account,",0,500.00,Erik Lively LLC
DLR-00653,EZ,-49000.00,03-27-24,Advance Payback per Josh Morton to be paid 0.15c/Kw on installed projects,0,-49000.00,EZ Energy
DLR-00651,Peak Solar Energy,-20000.00,03-27-24,Advance Payback per Josh Morton to be paid back at $.10/watt on installed projects.,0,-20000.00,Peak Solar Energy
DLR-00650,Peak Solar Energy,20000.00,03-27-24,Advance Request approved by Josh Morton to be paid back at $.10/watt on installed projects.,0,20000.00,Peak Solar Energy
DLR-00652,EZ,49000.00,03-27-24,Advance Request approved by Josh Mortonto be paid 0.15c/Kw on installed projects,0,49000.00,EZ Energy
OUR06006,PowerConnect,-67261.00,03-29-24,Payoff amount requested by the escalated customer David Estrada; to be paid by .05/watt on installed projects,-47069.75,-20191.25,Power Connections LLC
DLR-00655,World Energy Direct,-1500.00,03-29-24,"Advance repayment to setter team hitting 100 appointments, to be paid back 0.30 per watt on installed projects closed through setter lead projects",-1500.00,0.0,World Energy Direct LLC
